Sexo,Edad,Provincia,Cantón,Distrito,Nivel Educativo,Tiene Trabajo ,Ocupacion,Modalidad,Estado Civil,Jefe de Familia,Edad del jefe de familia,Sexo del jefe de familia,Nivel educativo del jefe de familia,Ocupación del jefe del hogar,Hace las compras,Toma decisiones administrativas,Material de pisos,Tienen empleada domestica,Dormitorios,Baños,Automóviles,Aspiradora,Lavadora,Secadora,Calentador,Home Theater,Videojuegos,Computadora,Internet,Es padre o encargado,Orientación sexual,Compra por internet 3 meses,Compra por internet 30 días,Ultima vez Internet,Servicio de streaming,Televisión ONLINE
Hombre,28,Guanacaste,Nicoya,Mansión,Secundaria Incompleta,No,Estudiante,No aplica,Soltero (a),No,38,Hombre,Secundaria Completa,Pensionados,No,No,Cemento (Pulido o no Pulido),No,Dos,Uno,Uno,No,No,No,No,No,No,No,No,No,Heterosexual,No,No,Ayer,No,Si
Hombre,26,San José,Desamparados,Desamparados,Universitaria Incompleta,Si,Ocupado,Presencial,Soltero (a),Si,26,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,Si,Si,Si,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,No,Si
Hombre,38,Guanacaste,Cañas,Cañas,Universitaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,38,Hombre,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,No,Si,Si,No,No,Si,Si,Si,Si,Heterosexual,No,No,Ayer,No,No
Hombre,23,San José,Mora,Colón,Universitaria Incompleta,No,Estudiante,No aplica,Soltero (a),No,59,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,Si,Tres,Tres,Uno,Si,Si,No,No,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,No,No
Hombre,37,San José,Aserrí,Salitrillo,Primaria Completa,No,Desocupado,No aplica,Soltero (a),Si,37,Hombre,Primaria Completa,Pensionados,No,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,No,No,No,No,No,Si,Heterosexual,Si,Si,Ayer,No,No
Hombre,27,San José,Desamparados,Frailes,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,27,Hombre,Secundaria Completa,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,No,Si,No,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,51,Alajuela,Alajuela,Alajuela,Universitaria Completa,Si,Ocupado,Teletrabajo,Casado (a)'/' Unión Libre,Si,51,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Cinco,Dos,No,Si,No,Si,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,No
Hombre,26,San José,San José,Hospital,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,26,Hombre,Secundaria Completa,Ocupaciones elementales (No calificados),Si,No,Cemento (Pulido o no Pulido),No,Uno,Uno,Ninguno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,Si
Hombre,50,San José,Desamparados,Gravilias,Posgrado,Si,Ocupado,Hibrido,Casado (a)'/' Unión Libre,Si,50,Hombre,Posgrado,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,Si,Si,No,No,No,Si,Si,Si,Si,Heterosexual,No,Si,Ayer,No,Si
Hombre,39,San José,Santa Ana,Santa Ana,Posgrado,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,39,Hombre,Posgrado,Directivos y Gerentes,Si,Si,Cerámica '/' Porcelanato,Si,Tres,Tres,Dos,Si,Si,Si,Si,No,Si,Si,Si,Si,Heterosexual,No,No,Ayer,Si,Si
Mujer,51,Limón,Pococí,Cariari,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,51,Mujer,Secundaria Completa,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cemento (Pulido o no Pulido),No,Uno,Uno,Ninguno,No,No,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,Si,No
Hombre,63,Alajuela,Alajuela,Alajuela,Universitaria Completa,No,Jubilado '/' pensionado,No aplica,Casado (a)'/' Unión Libre,Si,63,Hombre,Universitaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,Si,Tres,Tres,Dos,Si,Si,Si,Si,Si,No,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,22,Limón,Siquirres,Siquirres,Secundaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,22,Mujer,Secundaria Incompleta,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,No,No,No,No,No,No,Si,Si,Prefiero no decirlo,No,No,Ayer,No,No
Mujer,17,Limón,Matina,Matina,Secundaria Completa,No,Estudiante,No aplica,Soltero (a),No,41,Hombre,Universitaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,No,No,Cerámica '/' Porcelanato,No,Cinco,Uno,Uno,Si,Si,Si,No,Si,No,Si,Si,No,,No,No,Ayer,Si,Si
Hombre,24,San José,Tarrazú,San Marcos,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,24,Hombre,Secundaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,No,No,Si,No,Si,No,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,18,Heredia,Heredia,Mercedes,Secundaria Completa,No,Estudiante,No aplica,Soltero (a),No,57,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cemento (Pulido o no Pulido),No,Cuatro,Uno,Dos,No,Si,No,Si,Si,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,49,San José,Moravia,Trinidad,Secundaria Completa,No,Desocupado,No aplica,Soltero (a),No,73,Mujer,Primaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Ninguno,No,Si,No,Si,No,No,No,No,No,Heterosexual,No,No,Más 3 meses,No,No
Hombre,39,San José,Puriscal,Santiago,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,39,Hombre,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Cuatro,Tres,Dos,No,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,22,San José,Curridabat,Tirrases,Secundaria Incompleta,No,Desocupado,No aplica,Soltero (a),No,43,Mujer,Primaria Incompleta,Desocupados,No,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,No,No,No,No,Si,No,Si,No,Heterosexual,No,No,Ayer,Si,Si
Mujer,22,San José,San José,Merced,Universitaria Completa,Si,Ocupado,Presencial,Soltero (a),No,49,Hombre,Universitaria Incompleta,Personal de apoyo administrativo,Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Cinco,Dos,Si,Si,Si,Si,Si,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,27,San José,Goicoechea,Guadalupe,Secundaria Completa,No,Estudiante,No aplica,Casado (a)'/' Unión Libre,No,31,Hombre,Secundaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Dos,Uno,Si,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,No,Ayer,No,Si
Hombre,25,San José,Desamparados,San Miguel,Posgrado,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,25,Hombre,Posgrado,Pensionados,Si,Si,Mármol,Si,Nueve,Diez o más,Ocho,Si,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,38,San José,Pérez Zeledón,San Isidro de El General,Universitaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,38,Hombre,Universitaria Incompleta,Desocupados,Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Dos,Uno,Si,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,40,San José,Dota,Santa María,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,40,Hombre,Secundaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Madera,No,Tres,Dos,Uno,Si,Si,Si,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Hace 2 a 7 días,Si,Si
Mujer,41,Heredia,Heredia,San Francisco,Primaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,41,Mujer,Primaria Completa,"Operadores de instalaciones, maquinarias y ensambladores (Montaje)",Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,No,No,Si,No,Si,No,Si,Si,Otros,No,No,Ayer,No,No
Mujer,19,Puntarenas,Corredores,Corredores,Secundaria Completa,No,Desocupado,No aplica,Soltero (a),No,25,Hombre,Primaria Incompleta,Desocupados,No,No,Cemento (Pulido o no Pulido),No,Dos,Ninguno,Ninguno,No,No,No,No,No,No,No,No,No,Prefiero no decirlo,Si,No,Ayer,No,Si
Mujer,61,Alajuela,Alajuela,Alajuela,Universitaria Completa,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,No,81,Mujer,Primaria Incompleta,Desocupados,Si,Si,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Tres,Dos,Uno,No,Si,No,No,No,No,Si,No,Si,Heterosexual,No,No,Ayer,Si,Si
Hombre,39,San José,San José,San Francisco de Dos Ríos,Universitaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,39,Hombre,Universitaria Incompleta,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,No
Hombre,60,Alajuela,Alajuela,San José,Universitaria Incompleta,Si,Ocupado,Hibrido,Casado (a)'/' Unión Libre,Si,60,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Ninguno,No,Si,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,Si,Si
Hombre,68,San José,Goicoechea,Guadalupe,Universitaria Incompleta,No,Jubilado '/' pensionado,No aplica,Casado (a)'/' Unión Libre,Si,68,Hombre,Universitaria Incompleta,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,No,No,No,No,No,Si,Si,No,Heterosexual,No,No,Hace 2 a 7 días,No,Si
Mujer,39,San José,Pérez Zeledón,Páramo,Secundaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,39,Mujer,Secundaria Incompleta,No remunerado,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,No,No,No,Si,No,Si,Prefiero no decirlo,Si,Si,Ayer,No,Si
Mujer,58,Cartago,Cartago,Aguacaliente,Primaria Completa,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,58,Mujer,Primaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,No,No,No,No,No,Si,Si,Si,Prefiero no decirlo,No,No,Ayer,No,No
Mujer,24,Guanacaste,Santa Cruz,Santa Cruz,Universitaria Completa,No,Ama de casa,No aplica,Soltero (a),No,24,Mujer,Universitaria Completa,Estudiantes,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,Si,No,Si,Si,Si,Si,Si,Si,Otros,Si,Si,Hace 2 a 7 días,Si,No
Mujer,55,Alajuela,Alajuela,Río Segundo,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,55,Mujer,Secundaria Incompleta,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,No,No,No,No,No,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Mujer,36,San José,Mora,Colón,Universitaria Completa,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,39,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Tres,Tres,Uno,No,Si,No,Si,No,No,Si,Si,Si,Prefiero no decirlo,No,No,Ayer,No,No
Hombre,45,San José,San José,Hatillo,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,45,Hombre,Secundaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,36,Alajuela,Alajuela,San Rafael,Secundaria Incompleta,No,Estudiante,No aplica,Soltero (a),No,56,Mujer,Universitaria Completa,No remunerado,No,No,Cemento (Pulido o no Pulido),No,Tres,Uno,Uno,No,Si,No,No,No,No,No,Si,No,Heterosexual,No,No,Ayer,No,No
Hombre,42,Guanacaste,Liberia,Liberia,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,42,Hombre,Secundaria Incompleta,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Tres,Uno,Si,Si,Si,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Hace 2 a 7 días,No,Si
Hombre,63,San José,Desamparados,San Miguel,Universitaria Completa,No,Desocupado,No aplica,Separado(a) '/' Divorciado (a),Si,63,Hombre,Universitaria Completa,Desocupados,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Dos,Dos,No,Si,No,Si,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,Si
Hombre,33,San José,Goicoechea,Guadalupe,Universitaria Incompleta,Si,Ocupado,Hibrido,Soltero (a),Si,33,Hombre,Universitaria Incompleta,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,Si,No,Si,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,31,San José,Tibás,San Juan,Universitaria Incompleta,No,Desocupado,No aplica,Soltero (a),No,83,Hombre,Primaria Completa,Pensionados,No,No,Cerámica '/' Porcelanato,No,Cuatro,Dos,Uno,No,Si,No,No,No,No,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Hombre,31,Guanacaste,Santa Cruz,Tamarindo,Primaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,31,Hombre,Primaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,Si,Si,No,No,Si,No,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Hombre,59,San José,Montes de Oca,San Rafael,Posgrado,Si,Ocupado,Hibrido,Separado(a) '/' Divorciado (a),Si,59,Hombre,Posgrado,Directivos y Gerentes,Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Diez o más,Uno,No,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,No,No,Ayer,No,Si
Hombre,53,San José,Desamparados,San Miguel,Primaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,53,Hombre,Primaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,No,No,No,No,No,Si,Heterosexual,No,No,Ayer,No,No
Mujer,29,Limón,Pococí,Guápiles,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),No,56,Hombre,Primaria Completa,Personal de apoyo administrativo,No,No,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,Si,No,No,No,No,No,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Hombre,22,Limón,Limón,Río Blanco,Secundaria Incompleta,No,Desocupado,No aplica,Soltero (a),No,51,Hombre,Primaria Incompleta,Desocupados,Si,Si,Madera,Si,Dos,Uno,Tres,No,Si,Si,Si,No,No,No,No,No,Prefiero no decirlo,No,No,Ayer,No,No
Hombre,35,Puntarenas,Puntarenas,Paquera,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,35,Hombre,Secundaria Incompleta,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Uno,No,No,No,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,Si,No
Hombre,36,Puntarenas,Puntarenas,Puntarenas,Secundaria Incompleta,No,Desocupado,No aplica,Soltero (a),Si,36,Hombre,Secundaria Incompleta,Desocupados,Si,Si,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Uno,Uno,Ninguno,No,No,No,No,No,No,No,Si,Si,Otros,No,No,Ayer,No,Si
Hombre,36,San José,Desamparados,Gravilias,Universitaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,36,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,Si,Cuatro,Dos,Ninguno,No,Si,No,No,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,No,Si
Mujer,30,San José,Alajuelita,San Felipe,Secundaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,30,Mujer,Secundaria Incompleta,Personal de apoyo administrativo,No,Si,Madera,No,Tres,Uno,Ninguno,No,No,No,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,No
Mujer,41,San José,Tarrazú,San Marcos,Secundaria Completa,Si,Ocupado,Teletrabajo,Casado (a)'/' Unión Libre,Si,41,Mujer,Secundaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,No,No,Si,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,22,San José,San José,Catedral,Universitaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,22,Mujer,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Uno,Tres,No,Si,Si,Si,Si,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,49,Cartago,La Unión,San Diego,Universitaria Incompleta,Si,Ocupado,Teletrabajo,Soltero (a),Si,49,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Cuatro,Dos,Dos,Si,No,Si,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,39,Alajuela,Naranjo,Naranjo,Universitaria Incompleta,No,Rentista,No aplica,Casado (a)'/' Unión Libre,Si,39,Hombre,Universitaria Incompleta,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cemento (Pulido o no Pulido),Si,Dos,Dos,Dos,Si,Si,No,Si,Si,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,43,Alajuela,Palmares,Esquipulas,Universitaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,44,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Dos,Dos,Dos,Si,No,Si,Si,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,28,San José,Goicoechea,Rancho Redondo,Universitaria Completa,Si,Ocupado,Teletrabajo,Soltero (a),Si,28,Mujer,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,Si,No,No,No,No,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,No
Mujer,25,San José,Acosta,San Ignacio,Universitaria Incompleta,Si,Ocupado,Hibrido,Soltero (a),No,42,Hombre,Posgrado,Directivos y Gerentes,Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,No,Si,Si,No,Si,No,Si,Si,No,Heterosexual,Si,Si,Ayer,No,Si
Mujer,26,San José,Mora,Colón,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,26,Mujer,Secundaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Ninguno,Uno,No,No,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,Si,No
Hombre,35,Alajuela,Alajuela,Alajuela,Secundaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,35,Hombre,Secundaria Incompleta,Desocupados,Si,Si,Madera,No,Dos,Uno,Ninguno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,31,San José,Pérez Zeledón,San Isidro de El General,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,31,Hombre,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,Si,Dos,Dos,Uno,No,Si,No,No,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,46,San José,Pérez Zeledón,Platanares,Universitaria Completa,Si,Ocupado,Teletrabajo,Separado(a) '/' Divorciado (a),Si,46,Mujer,Universitaria Completa,No remunerado,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,Si,No,No,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,No
Hombre,29,San José,Moravia,San Vicente,Universitaria Incompleta,Si,Ocupado,Presencial,Soltero (a),Si,29,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Dos,No,Si,No,Si,Si,Si,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Mujer,36,San José,Desamparados,Gravilias,Universitaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,36,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,Si,No,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,21,Alajuela,Alajuela,Guácima,Secundaria Completa,No,Estudiante,No aplica,Soltero (a),No,55,Mujer,Universitaria Completa,Directivos y Gerentes,No,No,Cerámica '/' Porcelanato,Si,Tres,Cuatro,Cuatro,No,Si,No,No,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,42,San José,Escazú,Escazú,Universitaria Completa,Si,Ocupado,Hibrido,Casado (a)'/' Unión Libre,Si,42,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Tres,Tres,Dos,Si,Si,Si,No,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,50,San José,San José,Pavas,Universitaria Incompleta,Si,Ocupado,Hibrido,Soltero (a),Si,50,Mujer,Universitaria Incompleta,"Nivel profesional, científico e intelectual",Si,Si,Cemento (Pulido o no Pulido),No,Tres,Dos,Uno,No,No,No,No,Si,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,Si
Mujer,27,Alajuela,Alajuela,San Antonio,Secundaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,27,Mujer,Secundaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Uno,Uno,Uno,Si,Si,No,No,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,29,San José,Pérez Zeledón,San Isidro de El General,Universitaria Incompleta,No,Estudiante,No aplica,Soltero (a),Si,29,Mujer,Universitaria Incompleta,Estudiantes,Si,Si,Cerámica '/' Porcelanato,No,Cuatro,Uno,Uno,Si,Si,Si,Si,No,Si,Si,Si,No,Heterosexual,No,Si,Ayer,No,Si
Mujer,28,San José,San José,Pavas,Universitaria Completa,Si,Ocupado,Hibrido,Soltero (a),Si,28,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,Si,Uno,Uno,Ninguno,No,Si,Si,Si,No,No,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,66,San José,Escazú,San Rafael,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,66,Hombre,Secundaria Completa,Pensionados,Si,No,Cerámica '/' Porcelanato,Si,Tres,Uno,Uno,No,Si,Si,Si,No,Si,Si,Si,Si,Heterosexual,Si,Si,Hace 2 a 7 días,No,Si
Mujer,52,San José,Escazú,San Rafael,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,52,Mujer,Secundaria Completa,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,Si,Si,Si,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Más 3 meses,Si,Si
Hombre,27,San José,Aserrí,Tarbaca,Universitaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,27,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Dos,Dos,Si,Si,No,Si,Si,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,No
Mujer,47,Alajuela,Alajuela,Desamparados,Universitaria Completa,Si,Ocupado,Hibrido,Separado(a) '/' Divorciado (a),Si,47,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,Si,No,No,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,27,Guanacaste,Liberia,Liberia,Universitaria Incompleta,No,Estudiante,No aplica,Soltero (a),No,64,Hombre,Universitaria Completa,Pensionados,No,No,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Seis,Cinco,Uno,No,Si,No,No,No,No,Si,Si,No,Heterosexual,Si,Si,Ayer,No,Si
Mujer,35,San José,Escazú,Escazú,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,35,Mujer,Universitaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Dos,Uno,Si,No,No,No,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Hace 8 a 15 días,Si,Si
Hombre,48,Alajuela,Alajuela,San José,Universitaria Incompleta,Si,Ocupado,Presencial,Soltero (a),Si,48,Hombre,Universitaria Incompleta,Personal de apoyo administrativo,Si,Si,Cerámica '/' Porcelanato,No,Cuatro,Dos,Uno,No,Si,No,Si,No,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,No
Mujer,38,San José,Escazú,Escazú,Posgrado,Si,Ocupado,Hibrido,Casado (a)'/' Unión Libre,Si,38,Mujer,Posgrado,Directivos y Gerentes,Si,Si,Mármol,Si,Cuatro,Cinco,Tres,Si,Si,Si,Si,Si,Si,Si,Si,Si,Otros,Si,Si,Más de 30 días a 3 meses,Si,Si
